REF_AREA,Country,Measure,UNIT_MEASURE,Unit of measure,Age,Sex,Education,Domain,Year,OBS_VALUE
ISR,Israel,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,238.22671
TUR,Türkiye,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,226.54404
CHL,Chile,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,223.93535
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,280.68725
NZL,New Zealand,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,277.75464
CHL,Chile,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,237.02709
SVN,Slovenia,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,256.38674
CHL,Chile,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,220.14672
TUR,Türkiye,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,214.2393
SVN,Slovenia,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,273.07713
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,280.65746
GRC,Greece,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,258.71477
ISR,Israel,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,264.36266
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,266.82379
LTU,Lithuania,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,271.02231
TUR,Türkiye,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,229.72336
GRC,Greece,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,251.4371
CHL,Chile,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,200.61322
NZL,New Zealand,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,276.18918
TUR,Türkiye,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,236.59139
ISR,Israel,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,255.0367
ISR,Israel,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,255.44646
LTU,Lithuania,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,278.38168
LTU,Lithuania,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2014,258.34941
GRC,Greece,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,256.25396
SVN,Slovenia,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,255.16511
ISR,Israel,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,255.23751
LTU,Lithuania,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,264.97251
ISR,Israel,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2014,262.44395
GRC,Greece,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,254.52096
NZL,New Zealand,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,280.67288
GRC,Greece,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2014,253.88851
CHL,Chile,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,228.42103
TUR,Türkiye,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2014,231.97993
CHL,Chile,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,216.36301
NZL,New Zealand,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,287.28795
SVN,Slovenia,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2014,266.06484
SVN,Slovenia,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,257.67418
TUR,Türkiye,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2014,220.88592
CZE,Czechia,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,275.6780569
DNK,Denmark,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,281.53563
ITA,Italy,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,256.03031
KOR,Korea,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,292.93924
NLD,Netherlands,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,269.73608
AUT,Austria,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,271.5255017
DEU,Germany,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,259.7808
EST,Estonia,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,275.8840373
SWE,Sweden,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,279.2308439
FRA,France,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,275.02912
FRA,France,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,272.14735
NOR,Norway,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,280.3351128
FIN,Finland,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,287.5457019
IRL,Ireland,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,255.47652
JPN,Japan,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,297.7760603
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,273.8456011
FIN,Finland,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,289.1498767
DNK,Denmark,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,276.05655
DNK,Denmark,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,259.47361
ESP,Spain,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,239.07208
KOR,Korea,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,282.9721
POL,Poland,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,263.6560433
IRL,Ireland,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,273.40906
SWE,Sweden,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,277.5360191
AUT,Austria,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,277.71523
NOR,Norway,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,276.4301745
AUT,Austria,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,277.2221069
NLD,Netherlands,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,295.88509
DEU,Germany,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,277.96892
CZE,Czechia,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,280.87941
IRL,Ireland,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,266.5448219
NLD,Netherlands,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,294.61334
AUS,Australia,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,284.12518
ESP,Spain,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,249.4469645
CZE,Czechia,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,272.3157795
USA,United States,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,273.18595
FRA,France,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,247.85421
CAN,Canada,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,274.6331191
AUS,Australia,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,280.40107
USA,United States,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,271.72277
EST,Estonia,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,275.058207
AUT,Austria,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,269.4511534
JPN,Japan,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,294.6916906
EST,Estonia,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,276.6413055
POL,Poland,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,270.0832563
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,287.0559928
POL,Poland,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,273.15745
KOR,Korea,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,275.7248275
SVK,Slovak Republic,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,267.90792
FRA,France,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,262.0468642
KOR,Korea,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,269.4327217
SWE,Sweden,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,280.8766176
CAN,Canada,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,272.338934
DNK,Denmark,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,270.787543
ESP,Spain,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,254.1104087
DEU,Germany,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,269.808368
NOR,Norway,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,275.03698
FRA,France,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,262.1391371
JPN,Japan,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,284.41827
CAN,Canada,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,273.4862718
DNK,Denmark,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,271.0023507
POL,Poland,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,254.50752
FIN,Finland,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,296.70628
ITA,Italy,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,250.6099946
SVK,Slovak Republic,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,276.00147
IRL,Ireland,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,267.7134964
USA,United States,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,264.6842041
SWE,Sweden,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,288.63747
SVK,Slovak Republic,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,273.468328
USA,United States,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,278.2889709
ESP,Spain,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,263.88404
NLD,Netherlands,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,280.9204824
AUS,Australia,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,269.8054199
NOR,Norway,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,270.40367
SWE,Sweden,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,282.76186
FIN,Finland,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,303.97584
JPN,Japan,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,307.9806
AUS,Australia,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,288.112915
AUT,Austria,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,257.9819946
EST,Estonia,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,281.88586
IRL,Ireland,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,270.57468
ITA,Italy,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,250.4826646
CZE,Czechia,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,274.011658
FRA,France,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,262.2272065
SWE,Sweden,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,270.04726
EST,Estonia,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,287.06948
FIN,Finland,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,271.66915
ITA,Italy,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,250.3553505
DNK,Denmark,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,270.5754516
ESP,Spain,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,261.0523
AUT,Austria,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,267.3887158
DEU,Germany,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,278.90608
JPN,Japan,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,299.41566
POL,Poland,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,266.9037694
NOR,Norway,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,278.42521
SVK,Slovak Republic,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,278.33935
KOR,Korea,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,253.14836
POL,Poland,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,281.47743
JPN,Japan,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,296.2422519
ITA,Italy,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,241.97934
USA,United States,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,272.25857
AUS,Australia,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,281.31563
EST,Estonia,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,265.17266
ITA,Italy,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,260.80128
CZE,Czechia,Adult literacy skills,PO,Points,Young,Total,Total,Knowledge and skills,2012,280.53099
CZE,Czechia,Adult literacy skills,PO,Points,Old,Total,Total,Knowledge and skills,2012,264.08398
DEU,Germany,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,267.2148559
FIN,Finland,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,285.9597129
IRL,Ireland,Adult literacy skills,PO,Points,Total,Female,Total,Knowledge and skills,2012,265.4254417
KOR,Korea,Adult literacy skills,PO,Points,Total,Total,Total,Knowledge and skills,2012,272.5627635
DEU,Germany,Adult literacy skills,PO,Points,Total,Male,Total,Knowledge and skills,2012,272.3496565
NOR,Norway,Adult literacy skills,PO,Points,Middle-aged,Total,Total,Knowledge and skills,2012,288.3378
